Lokal      	Galactic     	Teta            	R +- err
         	"NGC3611	"	1.0143031601759633	21.442+-0.108
         	"NGC4369	"	1.024152192350621	21.442+-0.108
         	"NGC4980	"	1.0039932383879702	21.442+-0.108
         	"NGC1617	"	1.0405000495206695	21.442+-0.108
         	"NGC4355	"	1.250678036530521	21.442+-0.108
         	"NGC3185	"	1.6093789194892514	21.442+-0.108
         	"UGC03580	"	1.2555766141714302	21.442+-0.108
         	"NGC4419	"	1.3754835947645165	21.442+-0.108
         	"NGC4594	"	1.1830595003000695	21.442+-0.108
         	"NGC7727	"	1.1773339312914486	21.442+-0.108
         	"NGC6990	"	1.2436641779206932	21.442+-0.108
         	"NGC2782	"	1.1682194152348924	21.442+-0.108
         	"IC2152	"	1.0206406275086763	21.442+-0.108
         	"NGC1022	"	1.0933075373873844	21.442+-0.108
         	"NGC6835	"	1.3792805495670764	21.442+-0.108
         	"NGC7231	"	1.035724217141175	21.442+-0.108
         	"NGC5604	"	1.0048248922818603	21.442+-0.108
         	"NGC7098	"	1.0014369707211286	21.442+-0.108
         	"NGC4305	"	1.3221677175457822	21.442+-0.108
         	"NGC2798	"	1.1312061778228355	21.442+-0.108
         	"NGC2648	"	1.018068369118337	21.442+-0.108
         	"NGC5916	"	1.5433896418175972	21.442+-0.108
         	"NGC2811	"	1.3730100585736567	21.442+-0.108
         	"NGC5728	"	1.0033708637784169	21.442+-0.108
         	"NGC0660	"	1.17182506414773	21.442+-0.108
         	"NGC5691	"	1.0163199213652323	21.442+-0.108
         	"NGC1808	"	1.4403705450776627	21.442+-0.108
         	"NGC2993	"	1.024154504742781	21.442+-0.108
         	"NGC3169	"	1.0321411631269737	21.442+-0.108
         	"ESO371-011	"	1.0170575290176465	21.442+-0.108
         	"NGC5037	"	1.3224152651707997	21.442+-0.108
         	"PGC052460	"	1.4215874710994134	21.442+-0.108
         	"NGC3729	"	1.7482206453442077	21.442+-0.108
         	"NGC1512	"	1.2812063080197251	21.442+-0.108
         	"PGC019462	"	1.0340531840485219	21.442+-0.108
         	"NGC4045	"	1.0830633731497803	21.442+-0.108
         	"NGC1341	"	1.2304604834578685	21.442+-0.108
         	"NGC5506	"	1.0639197863182739	21.442+-0.108
         	"NGC5014	"	1.0197580159434836	21.442+-0.108
         	"NGC4698	"	1.2299674309479462	21.442+-0.108
         	"NGC1433	"	1.0678647791361513	21.442+-0.108
         	"NGC5566	"	1.271558112851211	21.442+-0.108
         	"PGC018581	"	1.271023727378736	21.442+-0.108
         	"NGC3227	"	1.0144564702096233	21.442+-0.108
         	"NGC3442	"	1.079338677965187	21.442+-0.108
         	"IC4214	"	1.3012515098747368	21.442+-0.108
         	"PGC063684	"	1.0400019053830756	21.442+-0.108
         	"ESO556-015	"	1.0342653794189824	21.442+-0.108
         	"PGC1075354	"	1.0010302104751998	21.442+-0.108
         	"NGC1511	"	1.0006820626814374	21.442+-0.108
         	"NGC4580	"	1.1524713049154685	21.442+-0.108
         	"ESO548-079	"	1.0747848617696854	21.442+-0.108
         	"ESO017-002	"	1.1875898308556152	21.442+-0.108
         	"PGC054944	"	1.155064894985184	21.442+-0.108
         	"IC4249	"	1.753381901291013	21.442+-0.108
         	"UGC00119	"	1.0453172418923227	21.442+-0.108
         	"NGC2775	"	1.0050082553822932	21.442+-0.108
         	"NGC3898	"	1.3459123646549447	21.442+-0.108
         	"NGC4274	"	1.000774004076789	21.442+-0.108
         	"NGC6012	"	1.0060321444442515	21.442+-0.108
         	"ESO431-017	"	1.1178533251042848	21.442+-0.108
         	"PGC138952	"	1.0877504088262788	21.442+-0.108
         	"PGC017072	"	1.042969912785031	21.442+-0.108
         	"NGC4448	"	1.211633357775449	21.442+-0.108
         	"NGC1436	"	1.0043065570788334	21.442+-0.108
         	"NGC1350	"	1.0012452415588249	21.442+-0.108
         	"NGC2968	"	1.5167655297107414	21.442+-0.108
         	"NGC4413	"	1.6357258133369397	21.442+-0.108
         	"NGC3175	"	1.0837962020456733	21.442+-0.108
         	"NGC4165	"	1.4971809032535464	21.442+-0.108
         	"NGC4312	"	1.4666882979460085	21.442+-0.108
         	"NGC0532	"	1.0004769784532381	21.442+-0.108
         	"NGC1357	"	1.0645417556192294	21.442+-0.108
         	"NGC2295	"	1.0094278826004082	21.442+-0.108
         	"NGC3277	"	1.7390815643937712	21.442+-0.108
         	"NGC2460	"	1.1139333495274977	21.442+-0.108
         	"IC2469	"	1.007911941028915	21.442+-0.108
         	"IC2158	"	1.2753594933453656	21.442+-0.108
         	"PGC017395	"	1.106460025086716	21.442+-0.108
         	"ESO441-012	"	1.0292291137670284	21.442+-0.108
         	"NGC2780	"	1.204172475044765	21.442+-0.108
         	"NGC7814	"	1.7035467542330596	21.442+-0.108
         	"NGC0681	"	1.0021883478065026	21.442+-0.108
         	"PGC061348	"	1.7970015844610687	21.442+-0.108
         	"NGC0955	"	1.0132978681284017	21.442+-0.108
         	"UGC02977	"	1.2970201927660077	21.442+-0.108
         	"NGC7232A	"	1.0841571627643967	21.442+-0.108
         	"NGC3481	"	1.0108972794076854	21.442+-0.108
         	"NGC0972	"	1.2099435987547738	21.442+-0.108
         	"NGC1398	"	1.0973113238289962	21.442+-0.108
         	"NGC3752	"	1.292359307601092	21.442+-0.108
         	"NGC4180	"	1.4170900935109103	21.442+-0.108
         	"NGC4818	"	1.0114398445402781	21.442+-0.108
         	"NGC2690	"	1.5402467141076432	21.442+-0.108
         	"NGC2654	"	1.4232283131284194	21.442+-0.108
         	"NGC5323	"	1.0024726760612042	21.442+-0.108
         	"NGC4313	"	1.2793602379685665	21.442+-0.108
         	"NGC4050	"	1.2372097533355453	21.442+-0.108
         	"NGC7582	"	1.0110957850332258	21.442+-0.108
         	"PGC012130	"	1.0501749790695778	21.442+-0.108
         	"IC0750	"	1.0846128973688156	21.442+-0.108
         	"NGC5534	"	1.0539012635555594	21.442+-0.108
         	"NGC4462	"	1.0387057377759896	21.442+-0.108
         	"NGC3067	"	1.0205810387232948	21.442+-0.108
         	"NGC3504	"	1.0000318845921414	21.442+-0.108
         	"IC5105B	"	1.7963847529756005	21.442+-0.108
         	"NGC3368	"	1.2888919875977003	21.442+-0.108
         	"UGC04559	"	1.0137774375121025	21.442+-0.108
         	"NGC6810	"	1.1929331260915337	21.442+-0.108
         	"NGC4725	"	1.5800414713522848	21.442+-0.108
         	"ESO482-035	"	1.000806843127585	21.442+-0.108
         	"ESO091-003	"	1.1052147182064893	21.442+-0.108
         	"NGC5915	"	1.613623263498229	21.442+-0.108
         	"NGC5376	"	1.4294210506189327	21.442+-0.108
         	"NGC1422	"	1.090289134653065	21.442+-0.108
         	"NGC4129	"	1.2356360485703315	21.442+-0.108
         	"UGC00313	"	1.3767510030751604	21.442+-0.108
         	"IC5264	"	1.0126039126775195	21.442+-0.108
         	"NGC4826	"	1.0012225751304233	21.442+-0.108
         	"NGC0986	"	1.0064348266358567	21.442+-0.108
         	"NGC4380	"	1.3810823085301631	21.442+-0.108
         	"NGC4845	"	1.005549341077179	21.442+-0.108
         	"IC0879	"	1.0230402542288242	21.442+-0.108
         	"NGC2146	"	1.5122081331926434	21.442+-0.108
         	"PGC012394	"	1.0419549891164572	21.442+-0.108
         	"NGC4750	"	1.3646109049639459	21.442+-0.108
         	"NGC4351	"	1.700556912963494	21.442+-0.108
         	"NGC3705	"	1.0964010193597848	21.442+-0.108
         	"NGC4569	"	1.5513567315443213	21.442+-0.108
         	"NGC4319	"	1.2988423886063918	21.442+-0.108
         	"NGC3031	"	1.694930064461464	21.442+-0.108
         	"NGC5719	"	1.3853380420666874	21.442+-0.108
         	"NGC4450	"	1.0001383663541246	21.442+-0.108
         	"NGC4736	"	1.6250406238809294	21.442+-0.108
         	"NGC7552	"	1.0007739652192382	21.442+-0.108
         	"NGC2985	"	1.191976193828023	21.442+-0.108
         	"NGC3049	"	1.8108306423710239	21.442+-0.108
         	"NGC7217	"	1.065978303723408	21.442+-0.108
         	"ESO268-036	"	1.0022356807848236	21.442+-0.108
         	"NGC7177	"	1.1182154726096087	21.442+-0.108
         	"IC3392	"	1.1496131137507197	21.442+-0.108
         	"NGC4192	"	1.1856084390470263	21.442+-0.108
         	"PGC090034	"	1.4698011392749615	21.442+-0.108
         	"NGC4451	"	1.2168221969628346	21.442+-0.108
         	"UGC09356	"	1.1818339939458422	21.442+-0.108
         	"IC5334	"	1.0000063730745434	21.442+-0.108
         	"NGC2566	"	1.048216874216178	21.442+-0.108
         	"ESO380-001	"	1.0823172363194973	21.442+-0.108
