Lokal      	Galactic     	Teta            	R +- err
         	"UGC05524	"	1.5516301543771547	10.164+-0.02
         	"PGC037373	"	1.2922446108371304	10.164+-0.02
         	"ESO139-049	"	1.5714582845779985	10.164+-0.02
         	"UGC05020	"	1.3107491215622493	10.164+-0.02
         	"NGC4904	"	1.139847341058354	10.164+-0.02
         	"UGC08085	"	1.001316725937098	10.164+-0.02
         	"NGC1258	"	1.0841345149299766	10.164+-0.02
         	"NGC1171	"	1.4931239834719399	10.164+-0.02
         	"UGC01070	"	1.0984556965126495	10.164+-0.02
         	"UGC03574	"	1.1730721353150548	10.164+-0.02
         	"NGC5112	"	1.3965985627509998	10.164+-0.02
         	"NGC6395	"	1.0739931739208421	10.164+-0.02
         	"NGC4294	"	1.311033707700367	10.164+-0.02
         	"UGC04024	"	1.0486549645963164	10.164+-0.02
         	"UGC09845	"	1.3814077690248743	10.164+-0.02
         	"UGC04395	"	1.0165756057654602	10.164+-0.02
         	"UGC12160	"	1.0001293894171006	10.164+-0.02
         	"IC4213	"	1.000253938195381	10.164+-0.02
         	"NGC7418	"	1.2798976593612417	10.164+-0.02
         	"UGC03749	"	1.2749731686385002	10.164+-0.02
         	"NGC0450	"	1.034891462124975	10.164+-0.02
         	"IC3099	"	1.5019362712951636	10.164+-0.02
         	"UGC06983	"	1.1089527735150477	10.164+-0.02
         	"NGC3917	"	1.0585019384924435	10.164+-0.02
         	"UGC03909	"	1.0562371419062744	10.164+-0.02
         	"IC1898	"	1.2211016001078956	10.164+-0.02
         	"IC3881	"	1.5526219333889255	10.164+-0.02
         	"UGC03403	"	1.0003523570137431	10.164+-0.02
         	"ESO576-032	"	1.2706298024250575	10.164+-0.02
         	"ESO222-015	"	1.0125690486114325	10.164+-0.02
         	"UGC08246	"	1.8283799738051607	10.164+-0.02
         	"NGC6663	"	1.3751193795132814	10.164+-0.02
         	"ESO139-046	"	1.7747650206751697	10.164+-0.02
         	"IC4721	"	1.0000382043766778	10.164+-0.02
         	"ESO428-031	"	1.0179119549870157	10.164+-0.02
         	"ESO532-014	"	1.0458871250235864	10.164+-0.02
         	"NGC1179	"	1.1924849118661727	10.164+-0.02
         	"NGC7151	"	1.5418527913618598	10.164+-0.02
         	"NGC7307	"	1.541565432990915	10.164+-0.02
         	"ESO442-013	"	1.0090531304136474	10.164+-0.02
         	"NGC4654	"	1.219035299406628	10.164+-0.02
         	"NGC2906	"	1.0001372765729608	10.164+-0.02
         	"NGC6236	"	1.0338538243136166	10.164+-0.02
         	"NGC4183	"	1.0125458574506312	10.164+-0.02
         	"UGC05707	"	1.0021376075356505	10.164+-0.02
         	"PGC018855	"	1.0482330706886376	10.164+-0.02
         	"NGC3501	"	1.513153924696057	10.164+-0.02
         	"IC0512	"	1.0040698351001478	10.164+-0.02
         	"UGC10887	"	1.0932515138174692	10.164+-0.02
         	"ESO510-059	"	1.0183541226381265	10.164+-0.02
         	"NGC5956	"	1.0829470127383898	10.164+-0.02
         	"IC2256	"	1.0015589278637125	10.164+-0.02
         	"UGC02392	"	1.0605330631516845	10.164+-0.02
         	"NGC4808	"	1.2764272025744625	10.164+-0.02
         	"UGC06667	"	1.172162792945822	10.164+-0.02
         	"NGC0493	"	1.0015375971099862	10.164+-0.02
         	"IC3044	"	1.0624698685123863	10.164+-0.02
         	"UGC09601	"	1.0646590830120368	10.164+-0.02
         	"NGC2273A	"	1.8471946504156385	10.164+-0.02
         	"NGC2573	"	1.0210517915440558	10.164+-0.02
         	"ESO287-043	"	1.0012982424979382	10.164+-0.02
         	"NGC2591	"	1.1744084265418437	10.164+-0.02
         	"NGC0100	"	1.5822479279731505	10.164+-0.02
         	"ESO488-060	"	1.3173140282941493	10.164+-0.02
         	"NGC1253	"	1.1019429264961669	10.164+-0.02
         	"NGC4525	"	1.0006410399178496	10.164+-0.02
         	"UGC04182	"	1.077442341994012	10.164+-0.02
         	"ESO018-015	"	1.1347938286030763	10.164+-0.02
         	"UGC02082	"	1.018874095229626	10.164+-0.02
         	"NGC1843	"	1.2226493291411937	10.164+-0.02
         	"NGC2139	"	1.0295645276358079	10.164+-0.02
         	"UGC09394	"	1.5808576824065057	10.164+-0.02
         	"UGC04514	"	1.002842349061263	10.164+-0.02
         	"NGC4701	"	1.0330543459661088	10.164+-0.02
         	"NGC4731	"	1.0006405084708805	10.164+-0.02
         	"PGC052809	"	1.0233557074006976	10.164+-0.02
         	"NGC6503	"	1.0003047372040201	10.164+-0.02
         	"NGC3395	"	1.0626034968929494	10.164+-0.02
         	"ESO265-003	"	1.3606579309188547	10.164+-0.02
         	"NGC1559	"	1.1139557034422245	10.164+-0.02
         	"IC0217	"	1.1730876014625538	10.164+-0.02
         	"NGC7689	"	1.1485132864567547	10.164+-0.02
         	"NGC3365	"	1.0366174224920137	10.164+-0.02
         	"ESO263-051	"	1.0561553438000064	10.164+-0.02
         	"NGC6255	"	1.2569573953671709	10.164+-0.02
         	"UGC05049	"	1.0765854671105313	10.164+-0.02
         	"IC0749	"	1.1151154099731315	10.164+-0.02
         	"NGC6946	"	1.0521824955588779	10.164+-0.02
         	"ESO321-025	"	1.0024562550563945	10.164+-0.02
         	"UGC06603	"	1.284652861302429	10.164+-0.02
         	"NGC0988	"	1.0046436945737711	10.164+-0.02
         	"UGC05974	"	1.1156953472730138	10.164+-0.02
         	"PGC036217	"	1.1448556272044401	10.164+-0.02
         	"NGC4522	"	1.3481880168276175	10.164+-0.02
         	"IC0342	"	1.004093902122662	10.164+-0.02
         	"UGC07908	"	1.009581029448229	10.164+-0.02
         	"UGC09925	"	1.0156070203926924	10.164+-0.02
         	"NGC4634	"	1.1232052763532097	10.164+-0.02
         	"UGC09991	"	1.1566349342214775	10.164+-0.02
         	"UGC11131	"	1.06879431307224	10.164+-0.02
         	"NGC3020	"	1.3722558907953872	10.164+-0.02
         	"NGC2283	"	1.0397801402299796	10.164+-0.02
         	"ESO428-020	"	1.3293040335441801	10.164+-0.02
         	"ESO285-048	"	1.0000476588479852	10.164+-0.02
         	"NGC3137	"	1.1572902491455188	10.164+-0.02
         	"ESO595-014	"	1.2706273333901255	10.164+-0.02
         	"UGC08733	"	1.179747683751549	10.164+-0.02
         	"ESO091-007	"	1.0074018452117255	10.164+-0.02
         	"NGC1385	"	1.010186492672985	10.164+-0.02
         	"UGC08516	"	1.0002017148371485	10.164+-0.02
         	"UGC06792	"	1.119661023257428	10.164+-0.02
         	"UGC06903	"	1.0006194539985713	10.164+-0.02
         	"NGC2280	"	1.1235060901446614	10.164+-0.02
         	"NGC3901	"	1.0007221813155265	10.164+-0.02
         	"NGC4416	"	1.0544253583393226	10.164+-0.02
         	"NGC1337	"	1.0002386995820025	10.164+-0.02
         	"NGC3184	"	1.0074763968925016	10.164+-0.02
         	"PGC062075	"	1.163015983748517	10.164+-0.02
         	"NGC5954	"	1.0383903945936201	10.164+-0.02
         	"UGC11093	"	1.3215452193623434	10.164+-0.02
         	"UGC11124	"	1.0001118096072563	10.164+-0.02
         	"UGC06802	"	1.0648207211072178	10.164+-0.02
         	"NGC2403	"	1.0181003697883049	10.164+-0.02
         	"UGC10445	"	1.0396816292830087	10.164+-0.02
         	"NGC6070	"	1.0037111612893241	10.164+-0.02
         	"NGC3423	"	1.3101999333855205	10.164+-0.02
         	"NGC4951	"	1.1290636385941522	10.164+-0.02
         	"PGC051401	"	1.1191827132283718	10.164+-0.02
         	"NGC5584	"	1.47746089297084	10.164+-0.02
         	"PGC027616	"	1.139814056050076	10.164+-0.02
         	"NGC3346	"	1.1208303241134694	10.164+-0.02
         	"ESO540-016	"	1.0427442491676815	10.164+-0.02
         	"ESO373-008	"	1.0752569359132544	10.164+-0.02
         	"IC3268	"	1.021789496298542	10.164+-0.02
         	"UGC08684	"	1.1061257302808278	10.164+-0.02
         	"IC2763	"	1.0328151243138912	10.164+-0.02
         	"NGC2604A	"	1.0009189205638616	10.164+-0.02
         	"NGC5669	"	1.115711778920375	10.164+-0.02
         	"PGC036716	"	1.0933503890348852	10.164+-0.02
         	"NGC7741	"	1.029977543634792	10.164+-0.02
         	"IC3322A	"	1.0446575258422914	10.164+-0.02
         	"NGC5068	"	1.2637980720947208	10.164+-0.02
         	"NGC6015	"	1.2018928145661534	10.164+-0.02
         	"UGC07943	"	1.51857363640685	10.164+-0.02
         	"ESO140-006	"	1.1213335353872063	10.164+-0.02
         	"NGC1249	"	1.1723891758764495	10.164+-0.02
         	"IC1197	"	1.0052106621942518	10.164+-0.02
         	"NGC4504	"	1.001768716899711	10.164+-0.02
         	"IC4212	"	1.4370085603131413	10.164+-0.02
         	"IC2135	"	1.0184967744858344	10.164+-0.02
         	"NGC7456	"	1.1876626111653208	10.164+-0.02
         	"UGC10554	"	1.0659262854843778	10.164+-0.02
         	"NGC7070	"	1.0357513666168985	10.164+-0.02
         	"NGC1493	"	1.0442762950290108	10.164+-0.02
         	"NGC5597	"	1.37596963653474	10.164+-0.02
         	"NGC4189	"	1.0097756054306173	10.164+-0.02
         	"PGC017323	"	1.0812777322728504	10.164+-0.02
         	"IC0758	"	1.2191118318626912	10.164+-0.02
         	"NGC0275	"	1.0328381413400667	10.164+-0.02
         	"PGC052853	"	1.024634994177986	10.164+-0.02
         	"NGC1003	"	1.462146183843695	10.164+-0.02
         	"IC0239	"	1.0255119967492412	10.164+-0.02
         	"ESO443-069	"	1.4412081989842291	10.164+-0.02
         	"IC1251	"	1.5655316047848329	10.164+-0.02
         	"NGC1448	"	1.1568546187413102	10.164+-0.02
         	"NGC5733	"	1.0059779794805883	10.164+-0.02
         	"NGC5457	"	1.0040398818976706	10.164+-0.02
         	"NGC4487	"	1.150832625015905	10.164+-0.02
         	"NGC4141	"	1.0197056627320296	10.164+-0.02
         	"NGC4688	"	1.0037605777561345	10.164+-0.02
         	"NGC3319	"	1.0702139838124038	10.164+-0.02
         	"NGC0895	"	1.0054328044598784	10.164+-0.02
         	"NGC6118	"	1.2294765704355173	10.164+-0.02
         	"ESO510-058	"	1.0256553694895538	10.164+-0.02
         	"NGC5023	"	1.333085315794763	10.164+-0.02
         	"NGC0672	"	1.314105496502986	10.164+-0.02
         	"ESO265-007	"	1.0297134843419968	10.164+-0.02
         	"UGC02816	"	1.000000420970865	10.164+-0.02
         	"NGC0598	"	1.0013416894601093	10.164+-0.02
         	"NGC3556	"	1.002033161490855	10.164+-0.02
         	"NGC4437	"	1.7170068628658242	10.164+-0.02
         	"NGC5468	"	1.056266898040609	10.164+-0.02
         	"IC0797	"	1.2081128525161078	10.164+-0.02
         	"NGC3206	"	1.1541367348594358	10.164+-0.02
         	"NGC2541	"	1.0414961475806614	10.164+-0.02
         	"NGC4144	"	1.0456678462294045	10.164+-0.02
         	"NGC4559	"	1.0673715217508524	10.164+-0.02
         	"NGC7424	"	1.2216262843353143	10.164+-0.02
         	"NGC4411B	"	1.002125473653804	10.164+-0.02
         	"UGC03691	"	1.1031346801673825	10.164+-0.02
         	"PGC027747	"	1.0004585199543068	10.164+-0.02
         	"IC1933	"	1.0065350577099659	10.164+-0.02
         	"ESO293-034	"	1.2066163764689068	10.164+-0.02
         	"IC4819	"	1.0017264335767426	10.164+-0.02
         	"NGC5474	"	1.0123007564854134	10.164+-0.02
         	"NGC5974	"	1.333026140880616	10.164+-0.02
         	"ESO467-051	"	1.6549279159434442	10.164+-0.02
         	"IC2000	"	1.0781240633518445	10.164+-0.02
         	"IC1953	"	1.1599013239725613	10.164+-0.02
         	"ESO270-026	"	1.0015913966540333	10.164+-0.02
         	"NGC4244	"	1.4422996801950745	10.164+-0.02
         	"NGC4540	"	1.2352100541658093	10.164+-0.02
         	"PGC018848	"	1.0002529881437807	10.164+-0.02
         	"NGC4945	"	1.0045634804552295	10.164+-0.02
         	"UGC07699	"	1.578711962916988	10.164+-0.02
         	"UGC07802	"	1.0619105717476642	10.164+-0.02
         	"IC5201	"	1.0048018431215866	10.164+-0.02
         	"NGC4502	"	1.4453069522473234	10.164+-0.02
         	"ESO298-015	"	1.0243885849933434	10.164+-0.02
         	"ESO209-009	"	1.416185667579617	10.164+-0.02
         	"NGC1688	"	1.6231880351845913	10.164+-0.02
         	"NGC7497	"	1.2635199466237503	10.164+-0.02
         	"ESO499-037	"	1.1805984729998582	10.164+-0.02
         	"NGC3794	"	1.3730081371007459	10.164+-0.02
         	"NGC4571	"	1.052857933459597	10.164+-0.02
         	"UGC07774	"	1.0000938921043845	10.164+-0.02
         	"ESO271-010	"	1.1165637154448804	10.164+-0.02
         	"IC3322	"	1.0641976404745574	10.164+-0.02
         	"ESO569-014	"	1.0164077925848858	10.164+-0.02
         	"NGC4771	"	1.138081304235751	10.164+-0.02
         	"NGC4330	"	1.1415216929717766	10.164+-0.02
         	"IC4720	"	1.007402407160963	10.164+-0.02
         	"NGC3495	"	1.1389606098572957	10.164+-0.02
         	"NGC3795A	"	1.0246546667707437	10.164+-0.02
         	"ESO385-033	"	1.0057828374146984	10.164+-0.02
         	"UGC09299	"	1.0789987729825796	10.164+-0.02
         	"UGC08146	"	1.0099758473552773	10.164+-0.02
         	"NGC4498	"	1.3068667554564526	10.164+-0.02
         	"PGC024870	"	1.0776895480431659	10.164+-0.02
         	"ESO563-012	"	1.1300146053755817	10.164+-0.02
         	"UGC09345	"	1.0027138391814603	10.164+-0.02
         	"UGC09215	"	1.1232074456659884	10.164+-0.02
         	"NGC5984	"	1.0904418829893998	10.164+-0.02
         	"NGC6237	"	1.162207590584029	10.164+-0.02
         	"UGC05798	"	1.0771209796313632	10.164+-0.02
         	"IC2233	"	1.0634416164831764	10.164+-0.02
         	"NGC6689	"	1.0193788358379208	10.164+-0.02
         	"ESO481-018	"	1.1351469640890655	10.164+-0.02
         	"UGC06534	"	1.0325309253985946	10.164+-0.02
         	"UGC06390	"	1.0555514491654587	10.164+-0.02
         	"PGC036643	"	1.0213181833581861	10.164+-0.02
         	"UGC05203	"	1.0024116605440838	10.164+-0.02
         	"NGC3027	"	1.0185312924881564	10.164+-0.02
         	"UGC06594	"	1.2080701928133237	10.164+-0.02
         	"UGC08365	"	1.1990859537509226	10.164+-0.02
         	"UGC08726	"	1.3705730115760795	10.164+-0.02
         	"NGC6339	"	1.1728765680737612	10.164+-0.02
         	"UGC01862	"	1.1643363234936492	10.164+-0.02
         	"NGC3279	"	1.1024721814528788	10.164+-0.02
         	"UGC00711	"	1.0515308944289665	10.164+-0.02
         	"ESO423-002	"	1.0103236463817464	10.164+-0.02
         	"IC3247	"	1.025724491950762	10.164+-0.02
         	"NGC5496	"	1.0014426804402896	10.164+-0.02
         	"UGC06378	"	1.0440418604125972	10.164+-0.02
         	"ESO146-014	"	1.3332528913885586	10.164+-0.02
         	"NGC7418A	"	1.2432652571322529	10.164+-0.02
         	"UGC05347	"	1.1037473781237896	10.164+-0.02
         	"UGC06791	"	1.0662717429803696	10.164+-0.02
         	"PGC043679	"	1.0361995706939955	10.164+-0.02
         	"ESO236-035	"	1.0375891616772608	10.164+-0.02
         	"NGC4631	"	1.0004844924597702	10.164+-0.02
         	"NGC4142	"	1.2025370432710922	10.164+-0.02
         	"UGC11566	"	1.7420598408320613	10.164+-0.02
         	"NGC5705	"	1.071789316644264	10.164+-0.02
         	"NGC4197	"	1.1326039975030435	10.164+-0.02
         	"NGC4222	"	1.042641079116957	10.164+-0.02
         	"ESO508-011	"	1.4467965102689109	10.164+-0.02
         	"ESO383-091	"	1.3361230895295553	10.164+-0.02
         	"NGC7320	"	1.1734136728434634	10.164+-0.02
         	"ESO358-063	"	1.2184997842616436	10.164+-0.02
         	"UGC04390	"	1.032328221287152	10.164+-0.02
         	"IC4871	"	1.0022952022370997	10.164+-0.02
         	"ESO292-014	"	1.1329491480830178	10.164+-0.02
         	"ESO576-003	"	1.434621500754928	10.164+-0.02
         	"ESO440-027	"	1.7991286280167096	10.164+-0.02
         	"UGC06023	"	1.0015669867203245	10.164+-0.02
         	"ESO490-045	"	1.0680010081081877	10.164+-0.02
         	"UGC03826	"	1.0354431846062917	10.164+-0.02
         	"NGC3782	"	1.1138433592674073	10.164+-0.02
         	"NGC5107	"	1.5563829703485788	10.164+-0.02
         	"UGC07991	"	1.0600521487749905	10.164+-0.02
         	"UGC05708	"	1.086064542583323	10.164+-0.02
         	"UGC03876	"	1.3335062252473588	10.164+-0.02
         	"UGC10020	"	1.0714557606739616	10.164+-0.02
         	"NGC4965	"	1.3785346783832495	10.164+-0.02
         	"NGC5645	"	1.0227783048709926	10.164+-0.02
         	"UGC09760	"	1.096482203890525	10.164+-0.02
         	"UGC09482	"	1.0843225414318798	10.164+-0.02
         	"ESO550-024	"	1.5545521404105762	10.164+-0.02
         	"UGC06446	"	1.2321399702447577	10.164+-0.02
         	"NGC6509	"	1.651765637360465	10.164+-0.02
         	"ESO563-034	"	1.0306352441291005	10.164+-0.02
         	"NGC4635	"	1.0036201135120568	10.164+-0.02
         	"UGC05460	"	1.0618351603122516	10.164+-0.02
         	"ESO441-017	"	1.142521631383499	10.164+-0.02
         	"UGC09242	"	1.194112325044299	10.164+-0.02
         	"UGC07394	"	1.0318396043464209	10.164+-0.02
         	"UGC04238	"	1.000028753034306	10.164+-0.02
         	"UGC06930	"	1.2598525117514223	10.164+-0.02
         	"NGC3443	"	1.002996838556042	10.164+-0.02
         	"UGC04753	"	1.0581534804251433	10.164+-0.02
         	"PGC045824	"	1.1483438576888896	10.164+-0.02
         	"NGC4396	"	1.003538564274509	10.164+-0.02
         	"NGC5556	"	1.1555268050735308	10.164+-0.02
         	"ESO576-040	"	1.5353370933786108	10.164+-0.02
         	"NGC4276	"	1.0180699704978606	10.164+-0.02
         	"NGC3913	"	1.1647532446446558	10.164+-0.02
         	"NGC4533	"	1.038240006184278	10.164+-0.02
         	"NGC0337	"	1.1943498699262716	10.164+-0.02
         	"ESO407-009	"	1.2733424927752808	10.164+-0.02
         	"PGC006667	"	1.5765691932726655	10.164+-0.02
         	"NGC7437	"	1.019495709055748	10.164+-0.02
         	"ESO450-014	"	1.0010534387019063	10.164+-0.02
         	"ESO563-029	"	1.0197212812086436	10.164+-0.02
         	"NGC4393	"	1.0151924319857977	10.164+-0.02
         	"ESO425-002	"	1.5473791900292881	10.164+-0.02
         	"NGC1744	"	1.0522559598164256	10.164+-0.02
         	"NGC3079	"	1.0572388121037848	10.164+-0.02
         	"PGC045652	"	1.5159796358627806	10.164+-0.02
         	"UGC05249	"	1.775231125436905	10.164+-0.02
         	"NGC3779	"	1.0002232966091396	10.164+-0.02
         	"ESO430-026	"	1.007103862919082	10.164+-0.02
         	"ESO361-015	"	1.0408577565114958	10.164+-0.02
         	"ESO551-031	"	1.047473772595924	10.164+-0.02
         	"IC1420	"	1.0059956275544597	10.164+-0.02
         	"ESO381-038	"	1.3173497330916097	10.164+-0.02
         	"PGC002805	"	1.2825965697825241	10.164+-0.02
         	"NGC7713	"	1.6503081518650216	10.164+-0.02
         	"ESO555-027	"	1.0080030192282121	10.164+-0.02
         	"PGC031979	"	1.1068760828612663	10.164+-0.02
         	"ESO382-031	"	1.1510157131589287	10.164+-0.02
         	"ESO514-007	"	1.0196578557845208	10.164+-0.02
         	"ESO581-025	"	1.006618411074897	10.164+-0.02
         	"ESO013-009	"	1.028973638502901	10.164+-0.02
         	"ESO138-014	"	1.5782419196263284	10.164+-0.02
         	"UGC04556	"	1.476973425603262	10.164+-0.02
         	"NGC3669	"	1.0037677397227776	10.164+-0.02
         	"ESO248-002	"	1.0008802557670133	10.164+-0.02
         	"ESO372-009	"	1.0940311162273737	10.164+-0.02
         	"ESO443-083	"	1.145191752613826	10.164+-0.02
         	"PGC006190	"	1.477691661403716	10.164+-0.02
         	"PGC030591	"	1.8073123731103422	10.164+-0.02
         	"ESO576-026	"	1.2816772759926147	10.164+-0.02
         	"ESO490-010	"	1.0516195700218418	10.164+-0.02
         	"NGC4713	"	1.0767046359612196	10.164+-0.02
         	"IC3474	"	1.2664628765333756	10.164+-0.02
         	"IC5332	"	1.0676333126441244	10.164+-0.02
         	"UGC05922	"	1.0993249170724138	10.164+-0.02
         	"UGC08909	"	1.0047127589512634	10.164+-0.02
         	"ESO577-038	"	1.5929354935660571	10.164+-0.02
         	"NGC0247	"	1.2337872229591123	10.164+-0.02
         	"NGC5668	"	1.1134907946003774	10.164+-0.02
         	"NGC4775	"	1.1392343130934426	10.164+-0.02
         	"UGC03830	"	1.0367130109143947	10.164+-0.02
         	"UGC11074	"	1.5459547827650977	10.164+-0.02
         	"UGC08041	"	1.5742668162603426	10.164+-0.02
         	"PGC008962	"	1.0806967475201703	10.164+-0.02
         	"ESO214-017	"	1.1092153006448355	10.164+-0.02
         	"NGC4145	"	1.003582274695349	10.164+-0.02
         	"ESO116-012	"	1.0160550833634463	10.164+-0.02
         	"ESO440-049	"	1.605071208446609	10.164+-0.02
         	"NGC3113	"	1.1790546203880394	10.164+-0.02
         	"ESO440-011	"	1.0231724356896243	10.164+-0.02
         	"ESO146-001	"	1.3137790697195268	10.164+-0.02
         	"NGC2805	"	1.0077717400331268	10.164+-0.02
         	"NGC5774	"	1.0763259992257657	10.164+-0.02
         	"ESO219-021	"	1.018753812339015	10.164+-0.02
         	"NGC1325A	"	1.0419119609306178	10.164+-0.02
         	"NGC4020	"	1.1231091984255097	10.164+-0.02
         	"IC3896A	"	1.6632715455674392	10.164+-0.02
         	"NGC3906	"	1.0248676329775679	10.164+-0.02
         	"ESO008-004	"	1.125973684616958	10.164+-0.02
         	"IC1914	"	1.7064919436912052	10.164+-0.02
         	"PGC016772	"	1.0002742948780277	10.164+-0.02
         	"PGC006864	"	1.8120244344636556	10.164+-0.02
         	"NGC4010	"	1.0684485340037244	10.164+-0.02
         	"NGC3621	"	1.0185819094936364	10.164+-0.02
         	"NGC5964	"	1.4298761910193087	10.164+-0.02
         	"NGC5585	"	1.0196942352899598	10.164+-0.02
         	"NGC0300	"	1.0055533021854444	10.164+-0.02
         	"ESO060-019	"	1.612267808119246	10.164+-0.02
         	"NGC4519	"	1.0768987545916762	10.164+-0.02
         	"PGC011367	"	1.00644571095732	10.164+-0.02
         	"ESO357-012	"	1.014524458181156	10.164+-0.02
         	"PGC037323	"	1.8479792075503125	10.164+-0.02
         	"ESO233-053	"	1.503074715146871	10.164+-0.02
         	"NGC6654A	"	1.014697907567866	10.164+-0.02
         	"NGC0925	"	1.0224591843789679	10.164+-0.02
         	"PGC032091	"	1.0159931714116783	10.164+-0.02
         	"NGC4455	"	1.310396826291585	10.164+-0.02
         	"ESO380-025	"	1.0905483993770837	10.164+-0.02
         	"PGC018154	"	1.1473890719790463	10.164+-0.02
         	"PGC062387	"	1.1981961050780265	10.164+-0.02
         	"PGC027825	"	1.0043893914907798	10.164+-0.02
         	"NGC2500	"	1.006291471126909	10.164+-0.02
         	"PGC2792068	"	1.0016925186071066	10.164+-0.02
         	"ESO363-015	"	1.1596240685866799	10.164+-0.02
         	"NGC4490	"	1.5451276441985782	10.164+-0.02
         	"ESO548-070	"	1.1381558199474824	10.164+-0.02
         	"ESO508-007	"	1.006298276261219	10.164+-0.02
         	"NGC4781	"	1.0003231659927307	10.164+-0.02
         	"ESO220-032	"	1.0262109693641948	10.164+-0.02
         	"IC1555	"	1.016458034564987	10.164+-0.02
         	"ESO433-004	"	1.021749777987718	10.164+-0.02
         	"IC5269C	"	1.0811136540568365	10.164+-0.02
         	"ESO345-046	"	1.000651615833382	10.164+-0.02
         	"NGC1494	"	1.0096864498881242	10.164+-0.02
         	"NGC6821	"	1.0001765567813432	10.164+-0.02
         	"UGC04867	"	1.1628372312882747	10.164+-0.02
         	"ESO021-002	"	1.4433150529928136	10.164+-0.02
         	"NGC0600	"	1.0157705626691065	10.164+-0.02
         	"ESO079-005	"	1.089831036630712	10.164+-0.02
         	"ESO565-029	"	1.2373020538832649	10.164+-0.02
         	"NGC1313	"	1.2386688097180694	10.164+-0.02
         	"ESO028-014	"	1.096300737613554	10.164+-0.02
         	"NGC5725	"	1.0027602171282342	10.164+-0.02
         	"NGC4288	"	1.5148031496667822	10.164+-0.02
         	"ESO504-028	"	1.018191200652722	10.164+-0.02
         	"NGC3589	"	1.3865920340696345	10.164+-0.02
         	"PGC017978	"	1.4543821394691019	10.164+-0.02
         	"ESO489-023	"	1.183422078441639	10.164+-0.02
         	"UGC09057	"	1.5368997165627367	10.164+-0.02
         	"ESO311-007	"	1.372775429913241	10.164+-0.02
         	"PGC025938	"	1.7163252613509097	10.164+-0.02
         	"PGC289052	"	1.0680463758994085	10.164+-0.02
         	"NGC5892	"	1.3968522285773974	10.164+-0.02
         	"PGC003853	"	1.0886027896798307	10.164+-0.02
         	"NGC4561	"	1.1783892516813668	10.164+-0.02
         	"NGC4178	"	1.0629256853823061	10.164+-0.02
         	"PGC070657	"	1.4353333896938902	10.164+-0.02
         	"NGC4173	"	1.070481614647853	10.164+-0.02
         	"ESO030-008	"	1.00012519442075	10.164+-0.02
         	"ESO340-009	"	1.4439372320557458	10.164+-0.02
         	"NGC4747	"	1.0862088487364325	10.164+-0.02
         	"ESO489-006	"	1.066597947333756	10.164+-0.02
         	"ESO324-023	"	1.0005615686691374	10.164+-0.02
         	"IC1125	"	1.0661452617284561	10.164+-0.02
         	"NGC4948	"	1.0482412517156718	10.164+-0.02
         	"IC4536	"	1.0878842404347904	10.164+-0.02
         	"NGC7793	"	1.0922541902600151	10.164+-0.02
         	"UGC08995	"	1.108322906690824	10.164+-0.02
         	"UGC04882	"	1.0206048231646128	10.164+-0.02
         	"ESO562-019	"	1.5642209055666636	10.164+-0.02
         	"PGC027833	"	1.0155391458272451	10.164+-0.02
         	"NGC4207	"	1.1325508376108144	10.164+-0.02
         	"UGC06112	"	1.014332454384705	10.164+-0.02
         	"NGC4116	"	1.2827874651091782	10.164+-0.02
         	"ESO497-002	"	1.1872524516843161	10.164+-0.02
         	"NGC3252	"	1.051417100904943	10.164+-0.02
         	"PGC012798	"	1.0226293736228054	10.164+-0.02
         	"NGC4496A	"	1.6085027418721107	10.164+-0.02
         	"UGC02370	"	1.0063522870965473	10.164+-0.02
         	"UGC05151	"	1.1159788006867817	10.164+-0.02
         	"PGC165693	"	1.181909225348799	10.164+-0.02
         	"PGC014768	"	1.076936165763426	10.164+-0.02
         	"NGC3287	"	1.2103613743945387	10.164+-0.02
         	"IC4986	"	1.0424095507164437	10.164+-0.02
         	"ESO427-034	"	1.4423989753966013	10.164+-0.02
         	"ESO595-010	"	1.5063437843902578	10.164+-0.02
         	"ESO013-016	"	1.0165730193047875	10.164+-0.02
         	"ESO063-011	"	1.1924061382951645	10.164+-0.02
         	"UGC12344	"	1.0411372090716062	10.164+-0.02
         	"PGC036551	"	1.0587447533146785	10.164+-0.02
         	"ESO482-005	"	1.0171189457841976	10.164+-0.02
         	"PGC045195	"	1.0878524558603	10.164+-0.02
         	"ESO580-022	"	1.004189211650809	10.164+-0.02
         	"IC3259	"	1.0001921777935432	10.164+-0.02
         	"ESO236-006	"	1.2839933576310665	10.164+-0.02
         	"ESO161-001	"	1.0180900073072618	10.164+-0.02
         	"ESO505-003	"	1.0523887608040516	10.164+-0.02
         	"ESO010-004	"	1.120565997747496	10.164+-0.02
         	"ESO418-008	"	1.0001903895612572	10.164+-0.02
         	"NGC4633	"	1.1510140903732085	10.164+-0.02
         	"ESO548-021	"	1.0104292603478793	10.164+-0.02
         	"ESO504-030	"	1.0765286606493667	10.164+-0.02
         	"IC3414	"	1.5116737278326906	10.164+-0.02
         	"NGC0045	"	1.1604526151748493	10.164+-0.02
         	"UGC06531	"	1.0282776058159357	10.164+-0.02
         	"PGC009559	"	1.1031249486036951	10.164+-0.02
         	"NGC4534	"	1.349720480660539	10.164+-0.02
         	"NGC4517A	"	1.819825622810911	10.164+-0.02
         	"NGC5789	"	1.0454902896715408	10.164+-0.02
