   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 25973  GRB191004A  65226.378  18:07:06.378        5s   2.00E-6        -0.41E-6        +0.62E-6    +1.872    0.064  2.38E-6   -0.83E-6   +1.02E-6   157        -37        +95  triggered           -- 
 25868  GRB190928A  47536.665  13:12:16.665      195s    4.9E-4         -0.3E-4         +0.3E-4  +103.168    0.256   9.0E-5    -0.2E-5    +0.2E-5   591        -88       +108  triggered           -- 
 25313  GRB190810A  58318.421  16:11:58.421      0.2s   2.29E-6        -0.40E-6        +0.85E-6    -0.042    0.016  2.23E-5   -0.55E-5   +0.92E-5  1120       -266       +656  triggered           -- 
 25285  GRB190805B  17159.354  04:45:59.354     27.9s   1.46E-5        -0.16E-5        +0.24E-5   +14.832    0.064  4.76E-6   -1.60E-6   +8.56E-6   315        -73       +148  triggered           -- 
 25274  GRB190731A  81504.082  22:38:24.082     22.0s   1.32E-4        -0.08E-4        +0.08E-4    +0.944    0.064  3.89E-5   -0.46E-5   +0.46E-5   406        -30        +30  triggered           -- 
 25218  GRB190727B  73072.783  20:17:52.783       62s   9.92E-5        -1.04E-5        +1.04E-5   +21.040    0.064  1.82E-5   -0.34E-5   +0.33E-5   402        -49        +64  triggered           -- 
 25047  GRB190706D  61390.044  17:03:10.044      0.5s   7.44E-7        -1.10E-7        +1.24E-7    +0.082    0.064  2.37E-6   -0.35E-6   +0.40E-6   246        -51        +70  triggered           -- 
 25042  GRB190706C   49348.84  13:42:28.840      6.5s   2.52E-5        -0.17E-5        +0.20E-5    +2.640    0.064  1.80E-5   -0.19E-5   +0.19E-5   281        -20        +19  triggered           -- 
 25032  GRB190704A  22355.497  06:12:35.497      1.5s   3.56E-6        -1.26E-6        +3.48E-6    -0.310    0.064  5.03E-6   -2.48E-6   +6.16E-6   861       -420      +2298  triggered           -- 
 24979  GRB190701B  36303.292  10:05:03.292       13s   3.51E-6        -0.46E-6        +0.70E-6    -0.072    0.064  1.39E-6   -0.63E-6   +0.68E-6   112        -30        +64  triggered           -- 
 24844  GRB190613B  38825.774  10:47:05.774        4s   3.48E-6        -0.79E-6        +1.29E-6    +0.544    0.064  2.65E-6   -1.10E-6   +1.54E-6   277       -107       +331  triggered           -- 
