|Galaxy_name                    |R.A.       |Decl.        |Ang_R
ESO555-022                  	090.2833	-21.7387	  1.696
ESO551-016                  	068.9191	-21.9881	  1.145
NGC1421                     	055.6221	-13.488	      2.507
NGC4035                     	180.1216	-15.9484	  0.793
NGC4389                     	186.3946	45.6851	      1.817
ESO441-007                  	182.065     -32.009       1.546
NGC3118                     	151.7982	33.0274	      1.817
UGC07590                    	187.0782	8.7294	      0.976
NGC6875A                    	302.9827	-46.1441	  2.038
NGC4321                     	185.728	    15.8218	      5.486
ESO355-026                  	038.0733	-35.0307	  1.046
NGC5247                     	204.5136	-17.884	      3.795
IC2056                      	064.1022	-60.2068	  1.286
IC4582                      	236.4138	28.0885	      0.931
NGC7462                     	345.6937	-40.8352	  2.878
NGC2856                     	141.0666	49.2491	      0.812
ESO477-016                  	029.0667	-22.9011	  1.512
NGC0048                     	003.5092	48.2349	      1.146
UGC10043                    	237.1722	21.8696	      1.735
IC4231                      	200.8065	-26.2995	  1.228
ESO223-012                  	227.3518	-52.5633	  1.734
NGC3981                     	179.0277	-19.8953	  4.161
NGC0255                     	011.9470	-11.4687	  2.086
PGC058798                   	250.5127	-5.0324	      1.775
NGC1351A                    	052.2031	-35.1783	  1.618
IC0381                      	071.1186	75.6397	      1.859
NGC0522                     	021.1909	9.9941	      1.992
NGC4100                     	181.5358	49.5829	      3.884
NGC4568                     	189.1429	11.2387	      3.156
ESO362-011                  	079.1616	-37.1025	  3.383
ESO564-019                  	136.3645	-18.5248	  0.601
ESO580-041                  	222.652	    -18.1512      1.41
PGC022100                   	118.4388	21.0493	      0.587
NGC5530                     	214.6137	-43.3897	  3.084
ESO288-025                  	329.824	    -43.867       1.775
NGC4159                     	182.7232	76.1259	      0.954
UGC09274                    	217.0101	21.3033	      0.975
PGC024469                   	130.7005	14.2653	      0.812
IC5325                      	352.1809	-41.3334	  1.903
ESO441-014                  	182.5587	-30.0784	  1.095
UGC08052                    	193.7209	73.1783	      1.315
NGC2966                     	145.5478	4.6731	      1.619
NGC7590                     	349.7281	-42.2391	  1.901
PGC039052                   	183.5092	6.7232	      0.676
IC0700                      	172.3138	20.5834       0.294
NGC5109                     	200.2198	57.6431	      1.256
UGC07982                    	192.4594	2.852	      2.449
ESO541-004                  	014.7415	-18.7427	  1.947
UGC05369                    	150.0787	54.5387	      1.146
PGC030906                   	157.3351	-17.4205	  1.38
NGC5054                     	199.2436	-16.6347	  3.461
NGC4536                     	188.6128	2.1879	      5.239
PGC018395                   	091.4215	66.8813	      0.513
NGC5088                     	200.0845	-12.5717	  1.857
IC4390                      	214.2466	-44.9773	  1.257
NGC0360                     	015.7144	-65.61	      2.565
ESO548-063                  	054.8950	-20.0148	  0.998
NGC5981                     	234.4719	59.3925	      1.947
NGC3003                     	147.1489	33.4214	      4.357
UGC03137                    	071.5626	76.4185	      3.802
ESO545-003                  	034.8715	-21.4353	  1.046
NGC2344                     	108.1194	47.1669	      1.315
NGC1406                     	054.8470	-31.3214	  2.75
ESO494-007                  	119.227	    -24.906       2.086
UGC09206                    	215.6142	15.086	      0.524
NGC3936                     	178.0858	-26.9058	  2.813
IC5176                      	333.7326	-66.8494	  3.229
NGC2559                     	124.2747	-27.4583	  2.813
NGC7347                     	339.984	    11.0276	      1.2
PGC058661                   	249.5356	-4.8215	      1.479
IC2627                      	167.4724	-23.726	      1.901
NGC2090                     	086.7580	-34.2505	  4.259
NGC5958                     	233.7048	28.6554	      0.757
PGC047885                   	203.7838	-30.1174	  0.5
PGC138879                   	097.8066	71.9966	      0.503
NGC7361                     	340.576	    -30.0554      2.879
NGC3162                     	153.3816	22.7376	      2.235
NGC2644                     	130.3828	4.9803	      1.546
PGC056924                   	241.0536	65.539	      0.71
NGC4790                     	193.7163	-10.2477	  1.095
NGC5301                     	206.6025	46.1072	      2.946
NGC4088                     	181.3905	50.5395	      4.358
IC2166                      	096.7317	59.0801	      2.038
NGC4689                     	191.9397	13.7628	      3.383
NGC4409                     	186.7435	2.4946	      1.443
NGC0007                     	002.0869	-29.9153	  1.735
ESO493-017                  	117.2556	-26.2453	  0.333
ESO563-013                  	130.6353	-19.8722      1.094
IC4468                      	219.6112	-22.3675	  1.776
ESO433-015                  	140.2855	-31.8915	  1.257
NGC5303                     	206.9373	38.3045	      0.741
NGC7162                     	329.9125	-43.3062	  1.992
NGC5170                     	202.4538	-17.9655	  6.014
NGC5600                     	215.9563	14.6387	      1.045
ESO572-018                  	178.9609	-18.1965	  1.147
ESO502-020                  	167.3415	-22.8753	  1.021
ESO549-018                  	057.0586	-21.4745      1.858
ESO501-080                  	160.6584	-23.9356	  1.696
IC1066                      	223.2619	3.296	      0.89
NGC5861                     	227.317	    -11.3216      2.133
NGC4605                     	189.9975	61.609	      5.9
IC4885                      	295.9668	-60.6517	  1.41
ESO511-050                  	217.8853	-25.3873	  0.588
ESO601-001                  	329.1787	-21.2094	  0.775
NGC3543                     	167.7351	61.3464	      0.932
ESO263-031                  	155.8062	-47.3391      1.286
ESO438-017                  	169.3237	-27.8225	  1.316
NGC4700                     	192.2811	-11.4116	  2.084
ESO490-031                  	100.5916	-26.8931	  1.094
ESO323-085                  	197.1606	-41.4616	  0.89
NGC6215                     	252.7792	-58.9931	  1.228
NGC5595                     	216.0546	-16.7232	  1.696
IC4362                      	211.3422	-41.8182	  1.228
NGC6207                     	250.7655	36.8323       2.133
NGC6221                     	253.1922	-59.2178	  2.946
NGC7721                     	354.7017	-6.5179	      2.184
NGC0406                     	016.8526	-69.8774	  2.184
NGC4212                     	183.9141	13.9015	      2.236
PGC166712                   	320.1924	45.2728	      0.533
ESO514-006                  	229.7955	-24.4297	  0.953
NGC5297                     	206.5987	43.872	      3.974
NGC5483                     	212.6043	-43.3247      3.085
ESO433-010                  	138.7699	-28.2632	  1.378
NGC2377                     	111.2367	-9.6593	      1.228
NGC1084                     	041.4996	-7.5786	      2.394
NGC3361                     	161.1216	-11.2078	  1.511
NGC4806                     	194.0517	-29.5029	  0.849
NGC0701                     	027.7666	-9.7023	      1.858
NGC0991                     	038.8857	-7.1551       2.134
ESO126-013                  	141.8863	-60.7706      1.41
NGC5970                     	234.6249	12.1862       2.134
NGC5145                     	201.3079	43.2672	      1.477
UGC11874                    	330.216	    51.5721       0.774
UGC02955                    	062.1220	69.6726	      0.773
NGC3796                     	175.1298	60.2989	      0.932
NGC1495                     	059.5941	-44.467	      2.085
NGC3657                     	170.9815	52.921	      1.583
NGC5643                     	218.1696	-44.1745	  3.461
UGC11909                    	331.5676	47.2511	      2.134
ESO320-035                  	179.1936	-38.1925	  1.657
NGC5916A                    	230.3076	-13.1005	  0.83
NGC1231                     	046.6221	-15.5691	  0.588
UGC12009                    	335.6679	37.9775	      0.998
UGC03045                    	066.6739	20.4079	      1.38
ESO035-018                  	118.7677	-76.4125	  2.625
UGC12182                    	341.4079	73.162	      0.644
NGC1796                     	075.6777	-61.1399	  1.317
PGC072252                   	356.0439	-6.1697	      1.409
NGC3655                     	170.7279	16.59	      1.07
NGC1888                     	080.6436	-11.4994	  2.287
NGC1637                     	070.3674	-2.8581	      2.339
PGC023847                   	127.4761	-7.5388	      0.85
NGC7090                     	324.1204	-54.5576	  5.612
UGC09355                    	217.3354	79.2414	      0.792
PGC170341                   	214.3731	-4.1853       0.645
ESO019-003                  	159.504	    -81.0975      1.172
ESO428-032                  	111.4194	-30.4046	  1.316
ESO371-020                  	132.7333	-34.5376	  2.508
PGC089976                   	064.1658	60.9245	      0.615
ESO126-016                  	142.3381	-60.6946	  0.812
ESO490-028                  	100.0866	-27.0972	  1.045
NGC5254                     	204.9078	-11.4938	  2.086
NGC3672                     	171.2602	-9.7953	      2.749
NGC3024                     	147.6141	12.7655	      1.443
IC0396                      	074.4951	68.3235       1.547
NGC1292                     	049.5622	-27.6104	  2.134
NGC0578                     	022.6189	-22.6672	  3.383
UGC02826                    	055.9398	68.3013	      0.849
NGC3187                     	154.4493	21.8734	      1.774
ESO420-009                  	062.7526	-31.4077	  1.119
NGC1232                     	047.4393	-20.5792	  5.003
UGC11466                    	295.7448	45.2981	      1.443
NGC5426                     	210.8536	-6.0705	      2.134
ESO328-030                  	228.1165	-42.6324	  0.89
NGC5236                     	204.2533	-29.8655	  12.9
NGC1809                     	075.5232	-69.5672	  2.34
IC5078                      	315.63	    -16.8181      2.945
UGC02729                    	051.7353	68.5812	      2.234
ESO580-029                  	221.8905	-19.7642	  1.546
NGC5439                     	210.4903	46.3119       0.793
NGC3654                     	171.0447	69.4131       1.07
IC0441                      	090.6780	-12.4992      0.975
UGC02765                    	053.0140	68.3684       2.394
NGC3568                     	167.7024	-37.4478	  1.775
ESO168-002                  	156.1849	-54.7973      1.199
NGC4390                     	186.4612	10.4591	      1.119
NGC5885                     	228.7672	-10.0861	  2.686
ESO288-045                  	332.6572	-43.253	      0.954
ESO504-017                  	177.193	    -27.3791      0.536
UGC05228                    	146.5152	1.6684	      1.774
UGC12074                    	338.2761	8.0975	      0.478
NGC4359                     	186.0466	31.5218       2.507
UGC04783                    	136.8124	38.9483	      0.707
UGC02866                    	057.5619	70.0947	      0.792
NGC5665                     	218.1075	8.0784	      1.51
NGC5085                     	200.0746	-24.4403	  2.566
NGC1347                     	052.4241	-22.2792	  0.954
ESO269-085                  	199.9953	-47.2818	  1.816
UGC05841                    	161.2329	76.6879	      1.12
ESO554-028                  	085.8097	-18.6406	  1.046
ESO037-010                  	151.0716	-75.4788	  1.816
PGC032681                   	163.3023	-7.4287	      0.931
IC0764                      	182.5591	-29.7364	  3.542
IC3742                      	191.3833	13.3327	      1.257
PGC2793197                  	228.3984	-48.4777	  0.614
NGC1187                     	045.6567	-22.8672	  3.974
NGC2835                     	139.4703	-22.3546  	  4.67
IC4901                      	298.5957	-58.7139      3.542
NGC4123                     	182.0463	2.8782        3.157
ESO291-024                  	350.9196	-42.4021      1.173
IC0052                      	012.0990	4.0919        0.691
PGC023262                   	124.4866	22.4361       0.601
PGC045877                   	198.1471	-17.5425      1.816
UGC03394                    	091.2067	56.1658       1.316
NGC7448                     	345.0153	15.9801       1.902
PGC060771                   	266.0364	40.8673       0.354
ESO222-012                  	219.8271	-52.2262	  0.615
ESO505-009                  	180.9604	-27.6025	  1.146
UGC00392                    	010.1466	83.2226	      1.201
UGC05998                    	163.2852	50.2845	      0.675
NGC7755                     	356.9656	-30.5221	  2.626
IC4472                      	220.0449	-44.3146	  1.546
NGC4535                     	188.5846	8.1977	      5.002
NGC1310                     	050.2642	-37.1017	  1.286
NGC3622                     	170.0517	67.2417	      0.849
ESO553-017                  	077.8000	-19.6131	  1.259
PGC005072                   	020.8306	7.7952	      0.271
UGC04159                    	120.4639	61.4131	      0.691
PGC086068                   	115.3677	-30.1121	  0.379
NGC6538                     	268.569	    73.4239       0.757
IC0391                      	074.3376	78.189	      0.931
UGC00578                    	014.0881	39.8258	      0.645
PGC046533                   	200.0773	-16.5376	  0.478
NGC5042                     	198.8794	-23.9835	  3.085
UGC05415                    	151.3159	72.2005       0.953
ESO027-001                  	328.1101	-81.5307	  2.134
ESO138-024                  	261.0273	-59.3822	  1.146
NGC6283                     	254.8606	49.922	      0.792
IC4821                      	287.3833	-55.0173	  1.286
ESO431-002                  	124.4302	-30.1304	  2.235
ESO342-050                  	322.0627	-37.8613	  1.511
ESO582-004                  	230.1915	-18.3488	  0.85
ESO027-008                  	335.7682	-79.9968	  1.991
NGC0024                     	002.4856	-24.9631	  4.456
NGC1536                     	062.7522	-56.4849	  1.378
ESO066-002                  	206.6107	-69.708	      0.614
NGC1035                     	039.8721	-8.1347	      1.583
NGC7137                     	327.0544	22.1596	      1.172
ESO061-008                  	139.9809	-68.909       1.316
UGC02855                    	057.0864	70.1329	      3.156
NGC5427                     	210.8587	-6.0306	      2.085
UGC04889                    	139.1395	39.8728	      1.021
NGC3294                     	159.0676	37.3246	      2.507
IC2522                      	148.7874	-33.1371	  2.287
ESO346-001                  	342.1408	-39.6489	  1.409
NGC2848                     	140.0413	-16.5258	  1.816
ESO138-013                  	255.7653	-61.7681	  1.286
PGC013646                   	055.7340	-12.9165	  2.235
NGC3512                     	166.0138	28.0361	      1.2
NGC2997                     	146.4117	-31.1912	  6.75
ESO582-012                  	231.5334	-22.2825	  1.859
NGC7599                     	349.8376	-42.2566	  3.086
NGC3370                     	161.7667	17.2737	      2.135
NGC3513                     	165.942	    -23.2455      2.134
NGC5073                     	199.8361	-14.8445	  2.45
NGC3430                     	163.0476	32.9512	      2.946
NGC4666                     	191.286	    -0.4619       3.157
NGC4632                     	190.6342	-0.0825	      2.183
NGC5033                     	198.3646	36.5937	      7.399
NGC3511                     	165.8491	-23.0866	  4.458
NGC0253                     	011.8881	-25.2888	  26.7
ESO576-050                  	201.1741	-19.6959	  2.287
NGC0864                     	033.8647	6.002	      3.382
NGC3726                     	173.3382	47.0291	      4.358
NGC3938                     	178.2057	44.1208	      3.795
NGC3877                     	176.5324	47.4947	      3.795
NGC3338                     	160.5315	13.747	      3.795
IC1158                      	240.3919	1.7079	      1.735
ESO482-046                  	057.4261	-26.9935	  2.506
NGC0908                     	035.7690	-21.2339	  4.357
NGC3956                     	178.5028	-20.5673	  2.508
NGC3930                     	177.9414	38.015	      2.34
NGC5300                     	207.0669	3.9509	      2.748
IC0467                      	112.5766	79.8725	      2.134
IC0529                      	139.6363	73.76	      2.626
NGC2967                     	145.5139	0.3365	      1.946
ESO435-019                  	149.7747	-30.2513	  2.394
NGC3526                     	166.7356	7.1739	      1.411
ESO563-002                  	129.2956	-22.25	      1.41
NGC4414                     	186.6126	31.2234	      2.814
ESO040-007                  	200.4151	-77.5327	  2.038
NGC0918                     	036.4618	18.4963	      2.508
NGC7064                     	322.2625	-52.7678	  2.508
NGC1145                     	043.6395	-18.635	      2.184
NGC5334                     	208.2268	-1.1145	      2.946
NGC3198                     	154.9788	45.5497	      5.745
NGC3666                     	171.1087	11.3421	      3.229
NGC5775                     	223.4899	3.5444	      2.75
IC0800                      	188.4861	15.3547	      1.12
IC1151                      	239.6347	17.4415	      1.735
NGC4647                     	190.8855	11.5825	      2.038
NGC3486                     	165.1005	28.9749	      4.889
UGC05459                    	152.0413	53.0834       3.461
NGC4298                     	185.3866	14.6061	      2.134
NGC3810                     	175.2448	11.4712	      2.878
NGC3631                     	170.2653	53.171	      3.795
NGC4136                     	182.3238	29.9277	      2.814
NGC5951                     	233.4294	15.0073	      2.626
NGC4651                     	190.9276	16.3934	      2.879
NGC3755                     	174.139	    36.4103       2.687
NGC3596                     	168.7759	14.7871	      2.946
ESO428-009                  	108.8149	-29.2814	  1.228
ESO121-006                  	091.8742	-61.8075	  2.814
NGC4900                     	195.1633	2.5009	      1.618
NGC4273                     	184.9831	5.3438	      1.695
NGC3893                     	177.1591	48.7108	      3.23
ESO208-025                  	113.8312	-50.2527	  1.072
NGC2227                     	096.4917	-22.0048	  1.545
NGC0628                     	024.1741	15.7835	      10.1
NGC1087                     	041.6049	-0.4987	      2.748
NGC5320                     	207.5848	41.3661	      2.625
NGC2525                     	121.4083	-11.427	      2.134
NGC2715                     	137.0259	78.0853	      3.624
NGC3359                     	161.6533	63.2241	      5.614
NGC6643                     	274.9431	74.5684	      3.382
NGC4254                     	184.7067	14.4164	      3.883
NGC2146A                    	095.9800	78.53	      2.235
NGC6412                     	262.4064	75.7043	      1.775
NGC4085                     	181.3446	50.3527	      1.903
NGC3850                     	176.3986	55.8868	      1.51
NGC0685                     	026.9283	-52.7618	  2.75
NGC0941                     	037.1160	-1.1515	      1.946
NGC3389                     	162.1164	12.5331	      2.038
NGC3437                     	163.1485	22.9341	      1.859
NGC3592                     	168.6141	17.2599	      1.286
UGC10862                    	262.0374	7.4226	      2.037
NGC4062                     	181.0161	31.8959	      2.947
NGC2770                     	137.3902	33.1235	      2.626
ESO366-009                  	100.7083	-35.5722	  1.146
NGC2742                     	136.8897	60.4793	      2.135
NGC0514                     	021.0163	12.9173	      2.625
NGC6035                     	240.8508	20.8914	      0.691
NGC5768                     	223.033	    -2.5298       1.257
NGC6106                     	244.6957	7.4094	      1.776
NGC1073                     	040.9177	1.3758	      3.461
NGC0803                     	030.9363	16.0309	      2.184
NGC4096                     	181.5048	47.4785	      4.777
NGC3055                     	148.8252	4.27	      1.546
NGC1058                     	040.8754	37.3411	      2.085
NGC4302                     	185.427	    14.5981       3.542
PGC004612                   	019.1823	16.4	      0.601
NGC5907                     	228.9738	56.3289	      8.496
NGC2820                     	140.4409	64.258	      3.23
NGC5690                     	219.421	    2.2909        2.45
NGC3041                     	148.2798	16.6777	      2.686
NGC7640                     	350.5273	40.8454	      7.231
UGC11030                    	268.6407	2.8794	      1.227
NGC4411A                    	186.6255	8.8716	      1.476
IC3115                      	184.4994	6.6532	      1.146
NGC4094                     	181.4749	-14.5264	  2.946
IC2995                      	181.4457	-27.9401	  2.184
NGC5161                     	202.308	    -33.1738	  4.161
NGC3023                     	147.4692	0.6181	      1.992
PGC016894                   	077.9203	-14.7895	  1.946
NGC7750                     	356.6577	3.7997	      1.146
NGC3454                     	163.6225	17.3441	      1.346
ESO580-030                  	221.8977	-18.0705	  1.256
IC5269B                     	344.1529	-36.2498	  2.749
IC3005                      	181.8088	-30.0245	  1.695
NGC6140                     	245.2399	65.3897	      4.161
NGC3733                     	173.7567	54.8505	      3.541
PGC005744                   	023.1232	4.6019	      0.316
NGC4316                     	185.676	    9.3326        1.775
NGC7218                     	332.5488	-16.6612	  1.817
PGC039556                   	184.6611	6.7082	      0.955
PGC005341                   	021.5605	-6.094	      2.085
ESO441-011                  	182.355	    -28.8013      1.738
NGC1892                     	079.2877	-64.9598      2.087
IC5273                      	344.8614	-37.7028	  1.619
UGC04970                    	140.4399	39.5248	      1.514
ESO001-006                  	216.8452	-87.7707	  2.184
NGC2763                     	136.7043	-15.4997	  1.657
NGC2273B                    	101.6316	60.3403	      1.946
ESO437-071                  	163.8312	-30.4696 	  0.889
UGC03820                    	110.5836	17.2869	      1.12
NGC3044                     	148.4203	1.5796	      3.382
UGC00958                    	021.1426	16.5369	      1.2
NGC7059                     	321.8395	-60.0144	  2.395
IC5270                      	344.4787	-35.858	      2.184
UGC01112                    	023.3275	3.0707	      0.953
NGC5523                     	213.7179	25.3175       3.383
UGC00260                    	006.7621	11.5838	      1.902
NGC4356                     	186.06	    8.5358        2.039
UGC05524                    	153.5902	22.1245	      1.778
PGC037373                   	178.7064	-16.8642	  1.511
ESO139-049                  	270.1458	-59.1365	  1.775
UGC05020                    	141.5061	34.6534       1.657
NGC4904                     	195.2443	-0.0275	      1.582
UGC08085                    	194.572	    14.5571       1.817
NGC1258                     	048.5229	-21.7743	  0.87
NGC1171                     	045.9958	43.3982	      1.902
UGC01070                    	022.4992	40.9738	      1.316
UGC03574                    	103.2936	57.1778	      3.014
NGC5112                     	200.4852	38.7346	      2.879
NGC6395                     	261.6303	71.0962	      1.775
NGC4294                     	185.3242	11.5108	      2.184
UGC04024                    	117.1386	62.2074	      1.12
UGC09845                    	231.5229	9.2042	      1.045
UGC04395                    	126.4483	28.1182	      1.347
UGC12160                    	340.2271	75.1647	      1.511
IC4213                      	198.0463	35.6704	      1.817
NGC7418                     	344.1505	-37.0301	  2.687
UGC03749                    	108.9741	67.9838	      1.285
NGC0450                     	018.8767	-0.8609	      2.183
IC3099                      	184.2885	12.454	      1.41
UGC06983                    	179.7888	52.7077	      2.507
NGC3917                     	177.6895	51.8242	      3.625
UGC03909                    	114.2446	73.7133	      1.622
IC1898                      	047.5801	-22.4058	  2.45
IC3881                      	193.7025	19.1774	      2.687
UGC03403                    	092.6442	71.3826	      1.656
ESO576-032                  	199.9666	-22.2788	  1.476
ESO222-015                  	221.1175	-49.4036	  1.657
UGC08246                    	197.52	    34.1809       2.507
NGC6663                     	278.3904	40.0489	      0.757
ESO139-046                  	269.8203	-59.5073	  1.257
IC4721                      	278.6022	-58.4965	  4.259
ESO428-031                  	111.2565	-32.499	      1.378
ESO532-014                  	330.7387	-22.4726	  1.12
NGC1179                     	045.6603	-18.8978	  3.381
NGC7151                     	328.773	    -50.6555	  1.858
NGC7307                     	338.4688	-40.9328	  2.566
ESO442-013                  	189.3061	-28.4928	  2.34
NGC4654                     	190.9857	13.1268	      3.625
NGC2906                     	143.026	    8.4419        1.046
NGC6236                     	251.1448	70.7804	      2.085
NGC4183                     	183.3204	43.6985	      3.794
UGC05707                    	157.8093	43.1374	      1.695
PGC018855                   	095.2321	-8.4956	      2.51
NGC3501                     	165.697	    17.9895       2.507
IC0512                      	135.957	    85.5017	      2.086
UGC10887                    	261.5305	77.7036	      0.889
ESO510-059                  	211.1931	-24.8271	  1.775
NGC5956                     	233.7445	11.7501	      1.173
IC2256                      	124.2267	24.177	      0.512
UGC02392                    	043.9434	33.7666	      1.317
NGC4808                     	193.9539	4.3042	      1.735
UGC06667                    	175.6095	51.5979	      2.451
NGC0493                     	020.5378	0.9457	      2.45
IC3044                      	183.2019	13.9762	      1.41
UGC09601                    	224.0077	-1.3878	      1.119
NGC2273A                    	100.0293	60.0806	      1.946
NGC2573                     	025.3963	-89.3346	  1.378
ESO287-043                  	324.5517	-43.9346	  1.409
NGC2591                     	129.3561	78.0264	      2.183
NGC0100                     	006.0112	16.4863	      4.066
ESO488-060                  	091.1791	-26.125	      2.133
NGC1253                     	048.5377	-2.8228	      3.796
NGC4525                     	188.463	    30.2776	      1.858
UGC04182                    	120.9574	61.3467	      0.674
ESO018-015                  	137.5467	-79.2377	  1.12
UGC02082                    	039.0673	25.4238	      3.884
NGC1843                     	078.5256	-10.6268	  1.476
NGC2139                     	090.2833	-23.6724	  2.038
UGC09394                    	218.9164	13.1702	      1.476
UGC04514                    	129.9069	53.4565	      1.546
NGC4701                     	192.2976	3.3884	      2.235
NGC4731                     	192.7551	-6.3935	      4.564
PGC052809                   	221.8509	-17.4462	  2.34
NGC6503                     	267.3604	70.1443	      7.1
NGC3395                     	162.4588	32.9828	      1.2
ESO265-003                  	165.2863	-44.0395	  2.038
NGC1559                     	064.3989	-62.7836	  2.625
IC0217                      	034.0435	-11.9268	  1.619
NGC7689                     	353.3196	-54.0945	  2.085
NGC3365                     	161.5525	1.8133	      3.229
ESO263-051                  	157.9176	-45.4831	  1.146
NGC6255                     	253.6981	36.5014	      2.566
UGC05049                    	142.2307	49.2385	      0.83
IC0749                      	179.6418	42.734	      1.656
NGC6946                     	308.7196	60.1538	      11.5
ESO321-025                  	185.4292	-39.7694	  1.619
UGC06603                    	174.5089	35.2037	      1.582
NGC0988                     	038.8662	-9.3565	      3.23
UGC05974                    	162.8958	4.5833	      1.477
PGC036217                   	175.1442	-10.0858	  1.946
NGC4522                     	188.4154	9.1751	      2.565
IC0342                      	056.7048	68.0966	      21.2
UGC07908                    	190.9089	73.6133	      1.07
UGC09925                    	234.133	    16.44	      0.975
NGC4634                     	190.6696	14.297	      1.618
UGC09991                    	235.8499	14.4358	      1.2
UGC11131                    	272.5939	1.5917	      0.723
NGC3020                     	147.5274	12.8136	      2.184
NGC2283                     	101.4718	-18.2122	  2.685
ESO428-020                  	109.6564	-29.3743	  1.2
ESO285-048                  	311.1676	-45.9786	  1.734
NGC3137                     	152.2809	-29.0642	  4.563
ESO595-014                  	301.9053	-21.1252	  1.2
UGC08733                    	207.1626	43.4123	      1.696
ESO091-007                  	139.3797	-62.8845	  1.442
NGC1385                     	054.3679	-24.5013	  2.687
UGC08516                    	202.969	    20.0011	      0.792
UGC06792                    	177.3471	39.7718	      2.239
UGC06903                    	178.9039	1.2372	      1.902
NGC2280                     	101.2045	-27.6385	  4.778
NGC3901                     	175.705	    77.3729	      1.286
NGC4416                     	186.6946	7.919	      1.2
NGC1337                     	052.0251	-8.3884	      4.161
NGC3184                     	154.5708	41.4244	      5.745
PGC062075                   	278.7022	74.0618	      0.832
NGC5954                     	233.6469	15.1983	      0.91
UGC11093                    	270.4656	6.9683	      2.287
UGC11124                    	271.8646	35.564	      1.817
UGC06802                    	177.528	    51.8548       0.759
NGC2403                     	114.211	    65.6026       21.9
UGC10445                    	248.4478	28.9845       1.775
NGC6070                     	242.4945	0.7095	      2.566
NGC3423                     	162.8097	5.8401	      2.813
NGC4951                     	196.2822	-6.4937	      2.339
PGC051401                   	215.8708	14.2834	      0.5
NGC5584                     	215.599	    -0.3876	      2.394
PGC027616                   	145.129	    -8.9436	      1.442
NGC3346                     	160.912	    14.8719	      1.946
ESO540-016                  	010.5613	-18.1617	  1.947
ESO373-008                  	143.3394	-33.0335	  4.162
IC3268                      	186.0307	6.6081	      0.674
UGC08684                    	205.567	    60.7769       1.228
IC2763                      	170.5768	13.0651	      0.975
NGC2604A                    	128.3461	29.5387	      1.41
NGC5669                     	218.1822	9.891	      3.23
PGC036716                   	176.6083	34.8524	      0.24
NGC7741                     	355.9767	26.0756	      3.086
IC3322A                     	186.4272	7.2166	      2.451
NGC5068                     	199.7301	-21.0392	  7.2
NGC6015                     	237.8551	62.31	      4.066
UGC07943                    	191.6904	5.9553	      1.62
ESO140-006                  	273.0024	-58.9754	  1.021
NGC1249                     	047.5050	-53.3359	  2.946
IC1197                      	242.0719	7.5386	      2.085
NGC4504                     	188.0728	-7.5633	      3.018
IC4212                      	198.0133	-6.9921	      2.341
IC2135                      	083.3037	-36.3988      2.037
NGC7456                     	345.5431	-39.5695	  3.974
UGC10554                    	252.0888	-1.6189	      1.288
NGC7070                     	322.6056	-43.0871	  1.696
NGC1493                     	059.3644	-46.2109	  2.75
NGC5597                     	216.1141	-16.7628	  1.476
NGC4189                     	183.447	    13.4248       1.775
PGC017323                   	082.0588	-16.1243      1.346
IC0758                      	181.0492	62.5054       1.411
NGC0275                     	012.7695	-7.067        1.021
PGC052853                   	221.9832	-14.2841      1.618
NGC1003                     	039.8188	40.8729       4.161
IC0239                      	039.1159	38.969        3.624
ESO443-069                  	196.7209	-28.5578      1.41
IC1251                      	257.5551	72.4107       1.046
NGC1448                     	056.1343	-44.6437	  5.614
NGC5733                     	220.6912	-0.3511	      0.707
NGC5457                     	210.8025	54.3491	      28.8
NGC4487                     	187.7686	-8.0538	      2.812
NGC4141                     	182.4471	58.8492	      0.931
NGC4688                     	191.9436	4.3361	      2.686
NGC3319                     	159.7894	41.6868	      4.358
NGC0895                     	035.4019	-5.5214	      2.565
NGC6118                     	245.4526	-2.2833	      3.382
ESO510-058                  	211.1557	-24.833	      0.91
NGC5023                     	198.0489	44.0374	      7.3
NGC0672                     	026.9766	27.4331	      7.2
ESO265-007                  	166.9521	-46.5257	  2.749
UGC02816                    	055.2994	24.0126	      0.869
NGC0598                     	023.4621	30.6599	      69.2
NGC3556                     	167.8791	55.674	      6.299
NGC4437                     	188.1894	0.1144	      7.399
NGC5468                     	211.6458	-5.4529	      1.735
IC0797                      	187.9783	15.124	      0.998
NGC3206                     	155.448	    56.9304       2.086
NGC2541                     	123.6672	49.0615	      4.669
NGC4144                     	182.4937	46.4573	      6.1
NGC4559                     	188.9905	27.9598	      8.693
NGC7424                     	344.3265	-41.0706	  5.612
NGC4411B                    	186.6967	8.8845	      1.858
UGC03691                    	107.0052	15.1783	      1.582
PGC027747                   	145.5963	-6.2516	      1.286
IC1933                      	051.4161	-52.7855	  1.443
ESO293-034                  	001.5835	-41.4973	  2.679
IC4819                      	286.7767	-59.4659	  2.085
NGC5474                     	211.2564	53.6622	      4.8
NGC5974                     	234.76	    31.7599       0.445
ESO467-051                  	335.8216	-28.9809	  1.992
IC2000                      	057.2823	-48.8582	  2.947
IC1953                      	053.4244	-21.4786	  2.085
ESO270-026                  	205.8024	-44.8594	  1.288
NGC4244                     	184.3729	37.8072	      19.4
NGC4540                     	188.7121	15.5516	      1.511
PGC018848                   	095.1784	-16.0612	  1.12
NGC4945                     	196.359	    -49.4709      19.8
UGC07699                    	188.2003	37.6222	      2.75
