|Galaxy_name                    |R.A.       |Decl.        |Ang_R
NGC1808                     	076.9263	-37.513	      5.239
NGC2993                     	146.4513	-14.3684	  1.316
NGC3169                     	153.5617	3.4664	      3.383
ESO371-011                  	131.0917	-34.6941	  0.757
NGC5037                     	198.7474	-16.5902	  1.511
PGC052460                   	220.2766	-8.8752	      1.318
NGC3729                     	173.4553	53.1257	      2.086
NGC1512                     	060.9760	-43.3488      7.067
PGC019462                   	100.63	    46.0764	      0.492
NGC4045                     	180.6762	1.9767	      2.183
NGC1341                     	051.9933	-37.1501	  1.07
NGC5506                     	213.3118	-3.2076	      1.858
NGC5014                     	197.8803	36.2821	      1.146
NGC4698                     	192.0955	8.4875	      2.75
NGC1433                     	055.5064	-47.2221	  4.356
NGC5566                     	215.0824	3.9333        4.777
PGC018581                   	092.7780	-15.494       0.707
NGC3227                     	155.8776	19.865	      3.883
NGC3442                     	163.2837	33.9104	      0.446
IC4214                      	199.4277	-32.1017	  1.657
PGC063684                   	297.1038	49.3311       0.736
ESO556-015                  	095.2732	-20.0484      1.991
PGC1075354                  	052.6761	-3.1635	      0.757
NGC1511                     	059.9038	-67.6342	  2.626
NGC4580                     	189.4515	5.3685	      1.477
ESO548-079                  	055.4836	-18.8952	  0.758
ESO017-002                  	113.0926	-77.9191	  0.616
PGC054944                   	230.8339	-4.1517	      1.12
IC4249                      	201.7773	-27.9564	  0.812
UGC00119                    	003.2628	14.4091	      0.675
NGC2775                     	137.5837	7.0379	      3.231
NGC3898                     	177.3135	56.0835	      2.686
NGC4274                     	184.9606	29.6143	      5.743
NGC6012                     	238.5579	14.6011	      2.184
ESO431-017                  	128.6014	-31.8221	  0.85
PGC138952                   	099.4038	72.4185	      0.522
PGC017072                   	079.5919	67.7317       0.619
NGC4448                     	187.0644	28.6203	      2.566
NGC1436                     	055.9044	-35.853	      1.946
NGC1350                     	052.7845	-33.6287	  4.066
NGC2968                     	145.8	    31.9287       1.512
NGC4413                     	186.6342	12.6107       1.656
NGC3175                     	153.6756	-28.8719	  3.541
NGC4165                     	183.0492	13.2465	      0.85
NGC4312                     	185.6305	15.5378       3.382
NGC0532                     	021.3222	9.2641        2.687
NGC1357                     	053.3212	-13.6642	  2.134
NGC2295                     	101.8476	-26.7364	  1.584
NGC3277                     	158.2311	28.5117	      1.51
NGC2460                     	119.2177	60.3494	      1.816
IC2469                      	140.7543	-32.45	      4.067
IC2158                      	091.3251	-27.8569	  1.173
PGC017395                   	082.9161	-10.3923	  1.147
ESO441-012                  	182.3629	-32.5152	  1.2
NGC2780                     	138.1849	34.9255	      0.66
NGC7814                     	000.8127	16.1455	      4.162
NGC0681                     	027.2952	-10.4266	  1.946
PGC061348                   	271.0614	9.3351	      0.6
NGC0955                     	037.6381	-1.109	      2.039
UGC02977                    	063.0376	27.9302	      0.737
NGC7232A                    	333.4224	-45.8939	  1.546
NGC3481                     	164.8593	-7.5438	      0.616
NGC0972                     	038.5557	29.3112	      2.34
NGC1398                     	054.7171	-26.3379	  5.118
NGC3752                     	173.1342	74.6276	      1.229
NGC4180                     	183.2631	7.039	      1.12
NGC4818                     	194.2038	-8.5252	      2.394
NGC2690                     	133.1584	-2.6032	      1.347
NGC2654                     	132.2992	60.2208	      3.085
NGC5323                     	206.4022	76.8284	      1.046
NGC4313                     	185.6607	11.801	      2.749
NGC4050                     	180.7249	-16.3736	  2.134
NGC7582                     	349.5967	-42.37	      3.794
PGC012130                   	049.0023	-5.4993	      1.286
IC0750                      	179.7175	42.7227	      1.991
NGC5534                     	214.4178	-7.4175	      0.976
NGC4462                     	187.338	    -23.1666      2.286
NGC3067                     	149.5879	32.3699	      1.696
NGC3504                     	165.7963	27.9723       1.902
IC5105B                     	321.501	    -40.8347      0.953
NGC3368                     	161.6904	11.8199	      7.6
UGC04559                    	131.0316	30.119	      2.34
NGC6810                     	295.8931	-58.6557	  2.286
NGC4725                     	192.6109	25.5012	      7.929
ESO482-035                  	055.3107	-23.8388	  1.286
ESO091-003                  	138.3819	-63.6263	  1.545
NGC5915                     	230.3878	-13.0917	  1.12
NGC5376                     	208.8169	59.5066	      1.511
NGC1422                     	055.3795	-21.6814	  1.582
NGC4129                     	182.2216	-9.0363	      1.656
UGC00313                    	007.8588	6.2068	      0.869
IC5264                      	344.2209	-36.5542	  1.734
NGC4826                     	194.1825	21.682	      10.3
NGC0986                     	038.3929	-39.045	      2.813
NGC4380                     	186.3421	10.0168	      2.286
NGC4845                     	194.505	    1.5759        3.623
IC0879                      	199.9191	-27.429	      0.85
NGC2146                     	094.6569	78.3569	      3.973
PGC012394                   	049.8586	-6.1211       0.616
NGC4750                     	192.5301	72.8745	      1.51
NGC4351                     	186.0063	12.2047       1.41
NGC3705                     	172.531	    9.2767        3.305
NGC4569                     	189.2085	13.1626	      7.572
NGC4319                     	185.4324	75.3226		  2.038
NGC3031                     	148.8879	69.0656	      26.9
NGC5719                     	220.2348	-0.3181	      2.235
NGC4450                     	187.1233	17.085		  3.708
NGC4736                     	192.7207	41.12		  11.2
NGC7552                     	349.0449	-42.5843	  2.507
NGC2985                     	147.5923	72.2791		  3.157
NGC3049                     	148.7067	9.2714		  1.582
NGC7217                     	331.9681	31.3593		  2.625
ESO268-036                  	191.044	    -42.7883	  0.85
NGC7177                     	330.1719	17.7381	      2.234
IC3392                      	187.1803	14.9994	      1.657
NGC4192                     	183.4513	14.8993       7.066
PGC090034                   	091.5454	-0.5425       0.793
NGC4451                     	187.1689	9.2589        0.976
UGC09356                    	218.2231	11.595        1.2
IC5334                      	353.6515	-4.5339       1.286
NGC2566                     	124.69	    -25.4995      2.565
ESO380-001                  	183.688   	-35.5097      2.34
NGC3329                     	161.164	    76.8094	      1.41
NGC7545                     	348.8835	-38.5353	  0.869
NGC4579                     	189.4315	11.818	      4.066
NGC7742                     	356.0655	10.7671	      1.286
PGC069332                   	339.3073	38.6468	      0.687
NGC4388                     	186.4449	12.662	      3.973
PGC078133                   	115.8045	-29.9767      1.886
NGC7259                     	335.7729	-28.9548	  0.812
ESO005-004                  	091.4238	-86.6319	  2.749
NGC3045                     	148.3237	-18.645	      1.045
NGC0488                     	020.4451	5.2568	      3.883
NGC7690                     	353.2602	-51.6984      1.411
NGC0278                     	013.0179	47.5505	      1.735
NGC3381                     	162.1033	34.7114	      1.476
IC1055                      	221.857	    -13.7161      1.51
PGC053779                   	226.0563	-7.2229	      0.975
UGC10713                    	256.1413	72.4467	      1.347
UGC05953                    	162.8253	44.5719	      0.478
ESO345-002                  	335.5732	-40.0892      0.953
ESO428-037                  	112.5763	-31.5985      1.2
IC1970                      	054.1314	-43.9569	  2.085
NGC5443                     	210.5491	55.8141       1.946
NGC1640                     	070.5606	-20.4347      1.902
ESO407-007                  	347.4139	-36.42	      1.618
NGC3691                     	172.0392	16.9204	      0.932
NGC5757                     	221.9434	-19.0785	  1.511
NGC2543                     	123.2413	36.2546	      1.816
UGC05646                    	156.4713	14.3634       1.992
UGC12054                    	337.3852	7.726	      0.932
NGC0615                     	023.7736	-7.3404       2.45
UGC03630                    	105.2637	1.9113        1.228
NGC3177                     	154.1422	21.123	      1.094
NGC2633                     	132.0193	74.0988	      1.696
NGC5957                     	233.8468	12.0475       2.286
NGC5372                     	208.69	    58.6663       0.477
NGC3424                     	162.9435	32.9003       1.992
NGC4699                     	192.2592	-8.6643	      2.813
